"continent" "country" "obs_type" "obs_vlues"
"1" "Africa" "Algeria" "gdpPercap_1952" 2449.008185
"2" "Africa" "Angola" "gdpPercap_1952" 3520.610273
"3" "Africa" "Benin" "gdpPercap_1952" 1062.7522
"4" "Africa" "Botswana" "gdpPercap_1952" 851.2411407
"5" "Africa" "Burkina Faso" "gdpPercap_1952" 543.2552413
"6" "Africa" "Burundi" "gdpPercap_1952" 339.2964587
"7" "Africa" "Cameroon" "gdpPercap_1952" 1172.667655
"8" "Africa" "Central African Republic" "gdpPercap_1952" 1071.310713
"9" "Africa" "Chad" "gdpPercap_1952" 1178.665927
"10" "Africa" "Comoros" "gdpPercap_1952" 1102.990936
"11" "Africa" "Congo Dem. Rep." "gdpPercap_1952" 780.5423257
"12" "Africa" "Congo Rep." "gdpPercap_1952" 2125.621418
"13" "Africa" "Cote d'Ivoire" "gdpPercap_1952" 1388.594732
"14" "Africa" "Djibouti" "gdpPercap_1952" 2669.529475
"15" "Africa" "Egypt" "gdpPercap_1952" 1418.822445
"16" "Africa" "Equatorial Guinea" "gdpPercap_1952" 375.6431231
"17" "Africa" "Eritrea" "gdpPercap_1952" 328.9405571
"18" "Africa" "Ethiopia" "gdpPercap_1952" 362.1462796
"19" "Africa" "Gabon" "gdpPercap_1952" 4293.476475
"20" "Africa" "Gambia" "gdpPercap_1952" 485.2306591
"21" "Africa" "Ghana" "gdpPercap_1952" 911.2989371
"22" "Africa" "Guinea" "gdpPercap_1952" 510.1964923
"23" "Africa" "Guinea-Bissau" "gdpPercap_1952" 299.850319
"24" "Africa" "Kenya" "gdpPercap_1952" 853.540919
"25" "Africa" "Lesotho" "gdpPercap_1952" 298.8462121
"26" "Africa" "Liberia" "gdpPercap_1952" 575.5729961
"27" "Africa" "Libya" "gdpPercap_1952" 2387.54806
"28" "Africa" "Madagascar" "gdpPercap_1952" 1443.011715
"29" "Africa" "Malawi" "gdpPercap_1952" 369.1650802
"30" "Africa" "Mali" "gdpPercap_1952" 452.3369807
"31" "Africa" "Mauritania" "gdpPercap_1952" 743.1159097
"32" "Africa" "Mauritius" "gdpPercap_1952" 1967.955707
"33" "Africa" "Morocco" "gdpPercap_1952" 1688.20357
"34" "Africa" "Mozambique" "gdpPercap_1952" 468.5260381
"35" "Africa" "Namibia" "gdpPercap_1952" 2423.780443
"36" "Africa" "Niger" "gdpPercap_1952" 761.879376
"37" "Africa" "Nigeria" "gdpPercap_1952" 1077.281856
"38" "Africa" "Reunion" "gdpPercap_1952" 2718.885295
"39" "Africa" "Rwanda" "gdpPercap_1952" 493.3238752
"40" "Africa" "Sao Tome and Principe" "gdpPercap_1952" 879.5835855
"41" "Africa" "Senegal" "gdpPercap_1952" 1450.356983
"42" "Africa" "Sierra Leone" "gdpPercap_1952" 879.7877358
"43" "Africa" "Somalia" "gdpPercap_1952" 1135.749842
"44" "Africa" "South Africa" "gdpPercap_1952" 4725.295531
"45" "Africa" "Sudan" "gdpPercap_1952" 1615.991129
"46" "Africa" "Swaziland" "gdpPercap_1952" 1148.376626
"47" "Africa" "Tanzania" "gdpPercap_1952" 716.6500721
"48" "Africa" "Togo" "gdpPercap_1952" 859.8086567
"49" "Africa" "Tunisia" "gdpPercap_1952" 1468.475631
"50" "Africa" "Uganda" "gdpPercap_1952" 734.753484
"51" "Africa" "Zambia" "gdpPercap_1952" 1147.388831
"52" "Africa" "Zimbabwe" "gdpPercap_1952" 406.8841148
"53" "Americas" "Argentina" "gdpPercap_1952" 5911.315053
"54" "Americas" "Bolivia" "gdpPercap_1952" 2677.326347
"55" "Americas" "Brazil" "gdpPercap_1952" 2108.944355
"56" "Americas" "Canada" "gdpPercap_1952" 11367.16112
"57" "Americas" "Chile" "gdpPercap_1952" 3939.978789
"58" "Americas" "Colombia" "gdpPercap_1952" 2144.115096
"59" "Americas" "Costa Rica" "gdpPercap_1952" 2627.009471
"60" "Americas" "Cuba" "gdpPercap_1952" 5586.53878
"61" "Americas" "Dominican Republic" "gdpPercap_1952" 1397.717137
"62" "Americas" "Ecuador" "gdpPercap_1952" 3522.110717
"63" "Americas" "El Salvador" "gdpPercap_1952" 3048.3029
"64" "Americas" "Guatemala" "gdpPercap_1952" 2428.237769
"65" "Americas" "Haiti" "gdpPercap_1952" 1840.366939
"66" "Americas" "Honduras" "gdpPercap_1952" 2194.926204
"67" "Americas" "Jamaica" "gdpPercap_1952" 2898.530881
"68" "Americas" "Mexico" "gdpPercap_1952" 3478.125529
"69" "Americas" "Nicaragua" "gdpPercap_1952" 3112.363948
"70" "Americas" "Panama" "gdpPercap_1952" 2480.380334
"71" "Americas" "Paraguay" "gdpPercap_1952" 1952.308701
