continent,country,obs_type,obs_vlues
Africa,Algeria,gdpPercap_1952,2449.008185
Africa,Angola,gdpPercap_1952,3520.610273
Africa,Benin,gdpPercap_1952,1062.7522
Africa,Botswana,gdpPercap_1952,851.2411407
Africa,Burkina Faso,gdpPercap_1952,543.2552413
Africa,Burundi,gdpPercap_1952,339.2964587
Africa,Cameroon,gdpPercap_1952,1172.667655
Africa,Central African Republic,gdpPercap_1952,1071.310713
Africa,Chad,gdpPercap_1952,1178.665927
Africa,Comoros,gdpPercap_1952,1102.990936
Africa,Congo Dem. Rep.,gdpPercap_1952,780.5423257
Africa,Congo Rep.,gdpPercap_1952,2125.621418
Africa,Cote d'Ivoire,gdpPercap_1952,1388.594732
Africa,Djibouti,gdpPercap_1952,2669.529475
Africa,Egypt,gdpPercap_1952,1418.822445
Africa,Equatorial Guinea,gdpPercap_1952,375.6431231
Africa,Eritrea,gdpPercap_1952,328.9405571
Africa,Ethiopia,gdpPercap_1952,362.1462796
Africa,Gabon,gdpPercap_1952,4293.476475
Africa,Gambia,gdpPercap_1952,485.2306591
Africa,Ghana,gdpPercap_1952,911.2989371
Africa,Guinea,gdpPercap_1952,510.1964923
Africa,Guinea-Bissau,gdpPercap_1952,299.850319
Africa,Kenya,gdpPercap_1952,853.540919
Africa,Lesotho,gdpPercap_1952,298.8462121
Africa,Liberia,gdpPercap_1952,575.5729961
Africa,Libya,gdpPercap_1952,2387.54806
Africa,Madagascar,gdpPercap_1952,1443.011715
Africa,Malawi,gdpPercap_1952,369.1650802
Africa,Mali,gdpPercap_1952,452.3369807
Africa,Mauritania,gdpPercap_1952,743.1159097
Africa,Mauritius,gdpPercap_1952,1967.955707
Africa,Morocco,gdpPercap_1952,1688.20357
Africa,Mozambique,gdpPercap_1952,468.5260381
Africa,Namibia,gdpPercap_1952,2423.780443
Africa,Niger,gdpPercap_1952,761.879376
Africa,Nigeria,gdpPercap_1952,1077.281856
Africa,Reunion,gdpPercap_1952,2718.885295
Africa,Rwanda,gdpPercap_1952,493.3238752
Africa,Sao Tome and Principe,gdpPercap_1952,879.5835855
Africa,Senegal,gdpPercap_1952,1450.356983
Africa,Sierra Leone,gdpPercap_1952,879.7877358
